,id,script
37,2YiZrIJzUsk,그럼 두 번째 꿈 뭐예요라고 분의 각각을 한 번 더해주고 한 번은 빼주고 이 생각을 할 수 있어야 된다는 얘기죠
38,2YiZrIJzUsk,하나만 더 볼까
39,2YiZrIJzUsk,그럼 뒤가 안 보더라도 우리 쓸 수 있죠
40,2YiZrIJzUsk,아에서한번은분의일다하고산물이뺐어처음에분의분의분의분의그러면이제뭐들어갈차례에요분의을한번더하고분의을빽엣지정말그런가요확인하면당연히맞습니다줘
41,2YiZrIJzUsk,그리고 이제 땡땡 땡 하고 우리가 가야 되는 거죠
42,2YiZrIJzUsk,그래서 마지막 뭐가 될까를 생각해 보면 이 마지막을 바로 쓰면 살짝 헷갈릴 수 있으니까 바로 요
43,2YiZrIJzUsk,앞에 거하라 정도를 생각해 본다면의 제국 군의 일이 없겠지요
44,2YiZrIJzUsk,앞에 가 그러면 당연히 일과 분의 이를 한 번은 더해줄 거고 한 번은 이래서 분에 이를 뺀다 이렇게 갈 거고 이제 마지막에 뭐가 됩니까 마지막이 분의 곱하기 분의 여기까지가 준 거죠
45,2YiZrIJzUsk,아직은 느낌이 잘 하나요
46,2YiZrIJzUsk,아직은 느낌이 안 옵니다
47,2YiZrIJzUsk,심하면 됩니다
48,2YiZrIJzUsk,계산해 볼게요
49,2YiZrIJzUsk,얼마분의두번째건분의긴세번째건불의네번째껀분의다섯번째껀분의그다음은분의쓰는방법은느낌조분모가이두개삶속의개계육개개에서어디까지가있고요개까지갈거예요
50,2YiZrIJzUsk,자 일단 요 부분까지 가본다면 분의 곱하기 분의 그다음 마지막이 분의 일 곱하기 분에까지 갈 거라는 이야기야
51,2YiZrIJzUsk,이렇게 바라봤던 이 우리는 공통점을 찾을 수 있죠
52,2YiZrIJzUsk,바로 뭐냐면 분모가 이 일대 분자가 크고 자다 부모보다 분모가 일 때 분자가 삶보다 크고 하라다
53,2YiZrIJzUsk,가대 크고 자라 이게 연속해서 반복된다는 얘기예요
54,2YiZrIJzUsk,이런 규칙성을 이제 찾았다면 그다음은 이걸 실제다 개선할 건 아니죠
55,2YiZrIJzUsk,당연히 간단하게 떨어질 거야
56,2YiZrIJzUsk,뭐가 가능에 약뿐이 가능할 거예요
57,2YiZrIJzUsk,한번 그 약품을 바라봤던 어분의 하고 분의 가 여기 보이네
58,2YiZrIJzUsk,이렇게 일단 지울 수 있겠네
59,2YiZrIJzUsk,그다음에 분의 사하고 분의 이 이렇게 보이네
60,2YiZrIJzUsk,아 느낌이 어떤 수하고 두 칸 건너뛴 수가 서로 없어요
61,2YiZrIJzUsk,어떤 수하고 두 칸 건너뛴 수가 서로 역시예요
62,2YiZrIJzUsk,이런 식으로 계속 지어져 나간다면 이수는 없어질 게 업종이 앞의 네 번째 잇는 거 앞에 주칸 떨어지는데 분의 이 있을 수 있었을 텐데 크게 없으니까 이 수는 살아남아있는 상태에요
63,2YiZrIJzUsk,그다음 뒤쪽으로 쭉 가서 이것도 이제 주위에 있는 것과 약품 됐을 테고 자 분을 이렇게 칸 뒤에 있는 것과 약분이 됐을 거란 얘기죠
64,2YiZrIJzUsk,그럼 누구랄까 이건 누가 앞에 분명히 분에 가 있었을 거예요
65,2YiZrIJzUsk,부모가 일개의 맞죠
66,2YiZrIJzUsk,그래서 이렇게 지어졌을 테니 결국 분모 가분의 링거니 뒤에 있는 분에 없기 때문에 살아남는다라는 이야기입니다
67,2YiZrIJzUsk,결국 최종적으로 남은 건 뭐냐면 제일 앞에 분의 남아있고 그다음에 쭉 약품 됐고 마지막에 분의 일 남기 때문에 이렇게 우리는 이걸 실제로 닭에 사라는 게 아니라 정리하다 보면 간단하게 나오게끔 문제가 출제될 수밖에 없는 거예요
68,2YiZrIJzUsk,그래서 이것만 여러분들이 계산해 주면 분에 이렇게 여러분들이 답을 구하는 형태에 문제가 되는 거고요
69,2YiZrIJzUsk,자 오늘의 수학의 답은 뭐가 될까요
70,2YiZrIJzUsk,아인 수불의 형태에서 우리가 일이 자주 등장을 해요
71,2YiZrIJzUsk,그 일은 반드시 모르 생각하자 일에 제곱으로 생각하면 완전 대급식에 될 수도 있고 아니면 제곱의 차로 바라볼 수도 있어서 여러분들께서 공식을 적용시켜서 복잡한 문제에 수액의 살을 간단하게 정리할 수 있게 되는 겁니다
72,2YiZrIJzUsk,아박수아아
73,3LQYGZjOUoA,이차방정식 근의 공식에 대해서 공부해 보도록 하겠습니다
74,3LQYGZjOUoA,자이트 공식은 요
75,3LQYGZjOUoA,굉장히 중요한 내용입니다
76,3LQYGZjOUoA,어 아무리 수학을 포기한 사람이라고 할지라도 그 내공식을 외우고 있어요
77,3LQYGZjOUoA,그럼 아마 여러분들의 부모님들 뭐 어머님 아버님들도 오랜 시간이 지났지만 그 내고 시계 대해서는 우리의 고 계시지 않을까
78,3LQYGZjOUoA,요런 생각을 해봅니다
79,3LQYGZjOUoA,그만큼 중요한 내용이라는 걸 말씀을 드리고 싶어요
80,3LQYGZjOUoA,자 그러면 정신 바짝 차리고 같이 출발해 보도록 하겠습니다
81,3LQYGZjOUoA,여기 차 방정식이 있어요
82,3LQYGZjOUoA,더 플러스 플러스 이퀄 영예라는 이차방정식의 있습니다
83,3LQYGZjOUoA,얘가 차 방정식이 되어야 하기 때문에 애인은 이 아니라는 조건이 필요해요했죠
84,3LQYGZjOUoA,자 그러면 이걸 어떻게 풀어야라는 건데 지난 시간에 우리 완전제곱식으로 바꿔서 근해 공시 아서 그래 곡식 아니라 제곱근을 이용해 문제를 푸는 방법이 걸 배웠죠
85,3LQYGZjOUoA,그걸 고대로 따라갈 겁니다
86,3LQYGZjOUoA,자 먼저 제곱의 개수를 일로 만들어주기 위해서 양변을 노 나눠줍니다가 이 아니기 때문에 가능한 일이겠죠
87,3LQYGZjOUoA,따라서얘를로나눠주면제곱플러스네비플러스에분이퀄이렇게되요
88,3LQYGZjOUoA,그다음 두 번째 요기를 완전 제고 꼬리 나오도록 만들어줘야 됩니다
89,3LQYGZjOUoA,그러기 위해서는 제곱 플러스 네 비자요
90,3LQYGZjOUoA,옆에 누가 있어야 되냐면요 너 반에 제곱이 와야 돼요
91,3LQYGZjOUoA,정 그러면 분에 비해 반이다
92,3LQYGZjOUoA,그러면 당연히 이 앱은 앱이겠죠
93,3LQYGZjOUoA,왜냐하면에 입은 에피 곱하기분의 일이니까요
94,3LQYGZjOUoA,요거를 채 곱하면 각 되냐면 제곱분의 비지에 곱이 됩니다
95,3LQYGZjOUoA,따라서 여기 제곱 내외 제곱이 한 번 더해지고 그다음에 똑같이 사회의 복부 네비 제곱을 한번 빼주면 돼요
96,3LQYGZjOUoA,그러 문제 될 거 없습니다
97,3LQYGZjOUoA,원래 거랑 똑같기 때문에 한 번 더해주고 한 번 빼줬으니까요 했죠
98,3LQYGZjOUoA,자이렇게되면로앞부분요
99,3LQYGZjOUoA,부분이 바로 누가 되냐면 완전 제거 없이 플러스분의 이 전체의 제곱이 됩니다 했죠
100,3LQYGZjOUoA,그다음에 요걸 정리해야 되는데 이거 두 개를 통분을 해줄 겁니다
101,3LQYGZjOUoA,얘를풍부늘하게되면자제곱에입은를채고분해로바꾸는거죠
102,3LQYGZjOUoA,그러면 가사 회의 제곱이 됐으니까요 기다가 사이를 곱한 거거든요
103,3LQYGZjOUoA,분모의 따라서 분자에 동의를 곱해주면 됩니다
104,3LQYGZjOUoA,없어여기는사회씨이렇게되요했죠
105,3LQYGZjOUoA,그래서 얘는 뭐가 되냐 하먼 아주 곱분의 단번에 합니다
106,3LQYGZjOUoA,여기는 뒤 제곱이 되는 거고요
107,3LQYGZjOUoA,쓰여 게 된다
108,3LQYGZjOUoA,이거 테죠
109,3LQYGZjOUoA,걸 묶었다는 걸 잘 보셔야 돼요
110,3LQYGZjOUoA,그래서전개하면회이제복구네비제고그다음플러스사이즈덕분에사회씨이렇게된겁니다했죠
111,3LQYGZjOUoA,그래서 이걸 이퀄일 돼요
112,3LQYGZjOUoA,자 그래서 요걸 정리하면 뭐가 되냐 하먼 결국 엑스프레스 분의 비의 제곱은 누가 된 걸까 사회의 제곱분의 제곱 이렇게 된 걸 볼 수가 있어요
113,3LQYGZjOUoA,우리가 지난 시간에 몰기로 서냐 하면 억이 정우에 좌변은 완전 제곱씩이 나와야 돼
114,3LQYGZjOUoA,그저 그럼 완전 제곱씩 나왔습니다
115,3LQYGZjOUoA,근데 이때 우변 양수가 나와야 된다고 했었는데 자사실은 어떤 수를 제곱해 쓸 때 음수가 될 수는 없죠
116,3LQYGZjOUoA,따라서 애가 양수가 되는 게 아니라 양수이거나 또는 이어도 됩니다
117,3LQYGZjOUoA,근데우리가지난시간에이되는경우를안본이유는결국어떤플러스라는아가나오면여러분헷갈린아요플러스티에제곱이퀄이면요
118,3LQYGZjOUoA,얘를 제곱근을 이용해서 풀 이유가 없기 때문에 그래요
119,3LQYGZjOUoA,그냥얘는는라는중건의갖게되는겁니다
120,3LQYGZjOUoA,그렇죠
121,3LQYGZjOUoA,그래서 이렇게 정리가 된다면 애가 인수분해가 가능한 꼴이었다는 얘기죠
122,3LQYGZjOUoA,그래서 굳이 이퀄 영위되는 교우를 보지 않았다는 겁니다 보면 안 된다는 게 아니라 따라서 이 경우에도 얘는 이 돼도 돼요
123,3LQYGZjOUoA,그래서만약에이우변이모였다면이었다면그냥플러스부내에의분해의제곱이이퀄이된거구요
124,3LQYGZjOUoA,이때는 마이너스의 분이라는 중간에 갖게 된다는 겁니다
125,3LQYGZjOUoA,아니면 애가 보다 크면 되겠죠
126,3LQYGZjOUoA,보다 크면 지난 시간에 했듯이 몰 이용해서 제곱근을 이용해서 문제를 풀 수가 있습니다
127,3LQYGZjOUoA,따라서 요렇게 정리했을 때요 있잖아요
128,3LQYGZjOUoA,우변 사회 의적 분의 제곱회는 보다 크거나 같을 때에만 차 방정식의 해를 구해낼 수가 있어요
129,3LQYGZjOUoA,이 계영 붓다 금연차 방정식의 해를 구해낼 수 없습니다
130,3LQYGZjOUoA,그저 그런데 생각해 보면 애인은 이 아니다 그랬으니까 제곱은 양수입니다
131,3LQYGZjOUoA,거기다를 곱해도 양수 줘 좀 분노는 양순이 따분 자만 보다 크거나 같은 건데요
132,3LQYGZjOUoA,그저 그래서 욕계 중요한 것은 뒤 제곱 가보다 크거나 같아야 된다
133,3LQYGZjOUoA,이 조건이 필요합니다
134,3LQYGZjOUoA,이거 무지막지하게 중요합니다
135,3LQYGZjOUoA,돼 초 예자 이렇게 되면 우리가 제곱근을 이용해서 플러스분이라는 수는 제곱해 쓸 때 이수가 되는 거니까 애가 플러스마이너스 루트 모낭 써주시면 돼요
136,3LQYGZjOUoA,이제 고픈 위 뒤 제법 회씩 요렇게 써 줄 수가 있습니다
137,3LQYGZjOUoA,그렇죠
138,3LQYGZjOUoA,그래서 만약에 애가 양수라면 양액 밥 하나와 음핵과 팔아가 나온다고 보시면 되고요
139,3LQYGZjOUoA,만약에 제곱 시간이었다면 그냥 이게이니까 노트해서 그이 건이 되는 겁니다
140,3LQYGZjOUoA,따라서 영이든 영이 아니든 요렇게 쓸 수 있게 되는 거예요
141,3LQYGZjOUoA,이해되시죠
142,3LQYGZjOUoA,자이렇게되면그냥는뭐가되냐면분의비가된거구요
143,3LQYGZjOUoA,플러스마이너스 루트 육아 된 겁니까 제곱 불의의 그다음에 뒤 제곱 씩 요렇게 된 겁니다
144,3LQYGZjOUoA,됐습니까
145,3LQYGZjOUoA,자 그런데 요 부분을 바꿔 쓸 수가 있어요
146,3LQYGZjOUoA,지금 제곱회가 이되면 그냥 애가 역리이니까 아 요게 이제 중근이 되는 거겠죠
147,3LQYGZjOUoA,분에 비가 중구 도로 나온 거 때 많이 걔가 보다 크다면 이걸 불로 분리할 수 있습니다
148,3LQYGZjOUoA,앞서 요 부분을 둘로 분리하면 루트 제곱분의 루트 얼마로 제곱으로 요렇게 분리가 하는데요
149,3LQYGZjOUoA,이건 제곱근의 성질이 줘
150,3LQYGZjOUoA,언제 제곱 회시가 보다 클 때입니다
151,3LQYGZjOUoA,그저 물론 영일 때도 이렇게 분리할 수 있어요
152,3LQYGZjOUoA,걱정 안 하셔도 됩니다
153,3LQYGZjOUoA,근데 이 경우에 분모를 봤더니 사가 있네요
154,3LQYGZjOUoA,그럼 사 가로 나옵니다
155,3LQYGZjOUoA,왜냐하면 이의 제곱이니까 서희 부트 제곱이 되고요
156,3LQYGZjOUoA,그다음에 루트 누가 되는 걸 볼 수가 있어요
157,3LQYGZjOUoA,제곱회씨가 됩니다
158,3LQYGZjOUoA,해척 자크 때 또 루츠 제법 이것도 우리 배웠습니다
159,3LQYGZjOUoA,이루트의제법은요불론아닙니다가보다큰값이라면그냥애니가된거구요가보다작은값라면가된다
160,3LQYGZjOUoA,이거 배워서 알고 있죠
161,3LQYGZjOUoA,이미 제곱 그래서 배웠던 얘기입니다
162,3LQYGZjOUoA,그 정 그러면 가 양순이 엄청냐에 따라서 이 값은 가 되던가 되던 둘 중에 하나가 된다는 뜻이에요
163,3LQYGZjOUoA,자그런데생각해보면이게그냥로나와도이앞에분은플러스마이너스구요
164,3LQYGZjOUoA,얘가 복시로 나온다고 하더라도 요부가 바뀌겠죠
165,3LQYGZjOUoA,플러스로 바뀔 텐데 결국 둘 중에 하나는 고 둘 중에 하나는 플러스라는 건 변함이 없습니다
166,3LQYGZjOUoA,따라서애가로나오던로나오던그값은어떻게쓸수가있냐면플러스에한번안벌이조작분양이잘모르겠죠
167,3LQYGZjOUoA,요걸 다시 쓰면 어떻게 쓸 수가 있냐면 요걸 그냥 이렇게 쓸 수 있다는 얘기입니다
168,3LQYGZjOUoA,이렇게 그래서 루트에 제곱이신데의 부호의 따라서 얘는 플러스가 될 수도 있고 가 될 수도 있다는 얘기예요
169,3LQYGZjOUoA,그렇죠 근데 얘가 플러스로 바뀌고 바뀌든 간에 어쨌든 우리는 플러스 한번 보고 번 걸 생각이었습니다
170,3LQYGZjOUoA,그저 따라서 애가 풀었으면 도로 여기가 플러스 일대 여기가 풀었으면 플러스 한 번 번을 보게 되는 거고요
171,3LQYGZjOUoA,여기자였을 때 예가 플러스마이너스면 번 플러스 한번 보게 되는 거니까 어차피 플러스 한 번 안 먹고 게 될 거라라는 걸 알 수가 있습니다
172,3LQYGZjOUoA,됐죠
173,3LQYGZjOUoA,그래서 얘는 그냥 못했으면 되냐면 분의 의작 엄밀히 말하면 플러스마이너스의 요렇게 쓸 수가 있냐면 플러스 분해에 묵으로 쓸 수가 있는 거예요
174,3LQYGZjOUoA,루트 제곱 이렇게 쓴 쓸 수 있는 겁니다
175,3LQYGZjOUoA,근데 설명드렸듯이 뭐 플러스마이너스 플러스마이너스해 봤자
176,3LQYGZjOUoA,이게 플러스에 플러스면 플러스플러스에 면면 플러스니까 결국은 플러스마이너스 거보겠다는 뜻입니다
177,3LQYGZjOUoA,그래서 그냥 이거를 요렇게 쓸 수가 있어요
178,3LQYGZjOUoA,요렇게 간단하게 쓸 수가 있습니다
179,3LQYGZjOUoA,이게 됩니까
180,3LQYGZjOUoA,그래서 이것 자체를 보이 미풍분이 되어있네요
181,3LQYGZjOUoA,그래서 하나로 이 입은 에로 합쳐 쓰시면 플러스마이너스 루프 지재권회 씩 요렇게 쓸 수가 있는 겁니다
182,3LQYGZjOUoA,이해가 됩니까 무가가 그래서 값을 그냥 요시 그로부터 구해낼 수가 있어요
183,3LQYGZjOUoA,이게 바로 이차방정식의 근의 공식입니다
184,3LQYGZjOUoA,그래서 정리를 해드리면요
185,3LQYGZjOUoA,이차방정식의 제곱 플러스입니다
186,3LQYGZjOUoA,물론 이때 가이면 안 되겠죠
187,3LQYGZjOUoA,예크는는그냥공식을이용해서구해낼수있다는겁니다
188,3LQYGZjOUoA,이분의 뭐라고요
189,3LQYGZjOUoA,플러스마이너스 루트 제곱회 씩 요건 오크 해낼 수가 있어요
190,3LQYGZjOUoA,얘가 무지막지하게 중요합니다
191,3LQYGZjOUoA,그저 예이가 이차방정식 풀이에 있어서 이거 만병통치약입니다
192,3LQYGZjOUoA,이제 색깔을 이렇게 열심히 하는 이유를 여러분들이 에이 이해하셨으면 좋겠어요
193,3LQYGZjOUoA,내 제 심정을 지금 전달이 되었으면 좋겠습니다
194,3LQYGZjOUoA,이 그만큼 중요합니다
195,3LQYGZjOUoA,그럼 너다 이때 제곱회는 보다 크거나 같아야 되고요
196,3LQYGZjOUoA,특히 제곱 에이스가 이되는 경우는 이 뒤 가로 없어지잖아요
197,3LQYGZjOUoA,그래서는 부라는 중근을 갖게 된다는 것까지 여러분들이 아해 보시면 좋습니다
198,3LQYGZjOUoA,그쵸자그러면여태까지풀었던이차방정식뜰을잎은의공식을이용해서탄풀어낼수가있어예를들면우리제곱플러스이퀄영이라는요런이차방정식있었죠
199,3LQYGZjOUoA,자 여기서는 일입니다
200,3LQYGZjOUoA,그저 가 이리 저 그다음 비는입니다
201,3LQYGZjOUoA,그다음에는 의미입니다
202,3LQYGZjOUoA,그럼깝다알고있으니까요거이용해서큰구해볼까요는곱하기분해에인데이거이니까그냥되겟죠
203,3LQYGZjOUoA,플러스마이너스 루트 한 번에 갑시다 이를 제곱 화면입니다
204,3LQYGZjOUoA,아기 곱하기 곱하기 이렇게 될 거예요
205,3LQYGZjOUoA,자 그러면 얘는 분의 누가 됩니까 플러스마이너스 루트의 됩니다
206,3LQYGZjOUoA,루트 일이 적고 무트 일은 일이니까 아내는 분의 일이에요
207,3LQYGZjOUoA,그럼 그러면 한 번은 누가 나오냐 하면 분의 가 나오고 한 번은 분의 안아 분의 가 나온 거죠
208,3LQYGZjOUoA,따라서는이거나또는는얼마다일이다
209,3LQYGZjOUoA,이렇게 그늘 구해낼 수가 있습니다
210,3LQYGZjOUoA,인수분해 하지 않고도 근의 공식을 이용하면 이게 가능하다는 거죠
211,3LQYGZjOUoA,그렇죠 그다음에 예를 들면 이런 거 해봤습니다의 제곱 플러스 권력 얘도 근의 공식을 이용하면 한 번에 그를 구해낼 수가 있어요
212,3LQYGZjOUoA,그럼 자 지금의 있는 일입니다
213,3LQYGZjOUoA,쥐는 얼마죠옵니다
214,3LQYGZjOUoA,씬얼마요일이죠
215,3LQYGZjOUoA,그러면은 한 번에 갈게요
216,3LQYGZjOUoA,곱하기 불의에 플러스마이너스 루트 돼요의 제곱 아기 곱하기 곱하기 이렇게 됩니다
217,3LQYGZjOUoA,됐나요
218,3LQYGZjOUoA,예자 이렇게 되면의 그 노안이 뭐가 되냐 하먼 분의 요트에다가 요게 뭐가 되냐면 살을 빼는 거죠
219,3LQYGZjOUoA,발급은 더 이사가 됩니다
220,3LQYGZjOUoA,그래서 누트가 돼요
221,3LQYGZjOUoA,한방에 구해지죠
222,3LQYGZjOUoA,그럼 이거 아까 우리가 완전제곱식으로 바꾼 다음에 제곱근을 이용해서 풀었던 그 문제입니다
223,3LQYGZjOUoA,아까 아니라 지난 시간에 그저 요기 이렇게 한방에 구해진 걸 볼 수가 있습니다
224,3LQYGZjOUoA,그럼 이때에도 중요한 것은 요
225,3LQYGZjOUoA,제곱근아니양수가됐다는것곡을보셔야됩니다
226,3LQYGZjOUoA,옛날 그러면 예를 들면 이런 돈 어떻게 될까요
227,3LQYGZjOUoA,맥스의 재고 기거에요
228,3LQYGZjOUoA,이것도 지난 시간에 풀었던 문제입니다
229,3LQYGZjOUoA,이것도양변을으로나누어준다음에완전제곱꼴로바꿔서예제곱근이용해서그렇게해서값을구했는데자이것도간단합니다는입니다비는이정쓰이는입니다
230,3LQYGZjOUoA,너 그래 공식에 의하면은 곱하기 브레 에인데 비가이니까 그냥이겠죠
231,3LQYGZjOUoA,플러스마이너스 루프요
232,3LQYGZjOUoA,뒤에 제곱 화면입니다
233,3LQYGZjOUoA,아기 곱하기 곱하기 이렇게 되겠네요
234,3LQYGZjOUoA,됐습니까
235,3LQYGZjOUoA,예자 그러면 얘는 분의에서 요게가 돼 대에 음수니까 덧셈이 됩니다
236,3LQYGZjOUoA,그럼에다 가를 더하면 되는 걸 볼 수가 있어요
237,3LQYGZjOUoA,우투 이렇게 됩니다
238,3LQYGZjOUoA,자 이렇게 바뀐 옷에 우리가 지난 시간에 보통 그다음이랑 다른데요
239,3LQYGZjOUoA,그러면 이렇게 보시면 돼요
240,3LQYGZjOUoA,루터는 그 애는 곱하기적 사가의 제곱입니다
241,3LQYGZjOUoA,이렇게 돼요
242,3LQYGZjOUoA,따라서루트은루트의에체곳곱하기로보실수가있구요
243,3LQYGZjOUoA,이거는 정리하면 위 루트가 됩니다
244,3LQYGZjOUoA,따라서 얘는 분의 루트에요
245,3LQYGZjOUoA,그렇죠
246,3LQYGZjOUoA,그래서분자품어를로나눠버리면얘는분해놓아됩니까플러스마이너스루트이렇게딱간단하게떨어집니다
247,3LQYGZjOUoA,요건은 지난 시간에 우리가 풀어 어떤 거와 답이 똑같은 걸 볼 수가 있어요
248,3LQYGZjOUoA,이때 도요 무투 안쪽이 양의 값을 가졌다는 거 요걸 잘 보셔야 됩니다
249,3LQYGZjOUoA,마지막으로 하나만 더 해볼까요 예를 들면의 제곱 펴 이퀄 얘를 근해 공식을 이용해서 풀면 어떻게 될까요
250,3LQYGZjOUoA,자의경우에는는그다음쓰이는합니다
251,3LQYGZjOUoA,그렇죠 그러면 그리 공식 그냥 써주시면 돼요
252,3LQYGZjOUoA,곱하기 분해에 자비니까 사합니다
253,3LQYGZjOUoA,플러스마이너스 루트 뒤에 제곱이니까 사회적 업이 지어 곱하기 곱하기 쓰로 이렇게 됩니다
254,3LQYGZjOUoA,자이렇게했더니요우판이영희돼요
255,3LQYGZjOUoA,그래서 분의 플러스마이너스 루트의 되는 거고요
256,3LQYGZjOUoA,이 경우로 그냥 분의 하나만 나옵니다
257,3LQYGZjOUoA,그저 얼마 이렇게 된 거죠
258,3LQYGZjOUoA,그래서여러분이보셔야될게아요그노안이영이되버리면이때는근해종류가이하나밖에없는즉중근이된다는거요것도알고계셔야됩니다했죠
259,3LQYGZjOUoA,자 그랬더니 어떤 학생이 질문을 합니다
260,3LQYGZjOUoA,오오 근데 그러면 선생님 욥 이제곱회에 해당하는 부분 즉 그 노안 이음수가 나오면 어떻게 됩니까 이런 질문을 하는데 일단 응수가 나오는 경우는 중학교에서 바르지 않습니다
261,3LQYGZjOUoA,따라서주 앞에서 나오는 문제는 그냥 다 양수 나영이 나오게 되어있다
262,3LQYGZjOUoA,이렇게 생각하시면 돼요
263,3LQYGZjOUoA,그렇죠 그래서 혹시 여러분들 학교에서 본 시험에서 이하늬 음수가 되는 게 어쩌고 제곱 빼기회가 음수가 되는 경우에는 그 은을 구할 수 없다나고 쓰시면 됩니다
264,3LQYGZjOUoA,아시겠죠
265,3LQYGZjOUoA,요오 경우에 대해선 고등학교에 가서 배울 거기 때문에 너무 걱정 안 하셔도 돼요
266,3LQYGZjOUoA,중학교에서는 애가 보다 크거나 같은 경우가 나온다
267,3LQYGZjOUoA,혹시 보다 작은 경우가 나오면 그를 구할 수 없다고 쓰시면 됩니다
268,3LQYGZjOUoA,아셨죠
269,3LQYGZjOUoA,그래서 다시 한번 강조 드립니다
270,3LQYGZjOUoA,이차방정식 플러스플러스 이퀄에서의 값을 구하는 이차방정식 근의 공식은 분의 배우세요
271,3LQYGZjOUoA,마스 루트 제곱회씨입니다
272,3LQYGZjOUoA,이거 반드시 겪어 계셔야 돼요
273,3LQYGZjOUoA,아셨죠
274,3ywAbuz0cMI,분해하는 걸 인수분해라 그래요
275,3ywAbuz0cMI,뭘로 인수로 분해한다
276,3ywAbuz0cMI,그래서 인수분해 그럼 무슨 뜻을 알아야 돼요
277,3ywAbuz0cMI,분해는 뭔지 알잖아요
278,3ywAbuz0cMI,인수가 뭔지를 알면 인수가 뭐예요
